tract,gsmn_math_g3_2013,,Census Tract,,
3101,2.356993,,31.01,3101,TRUE
3400,2.356993,,34,3400,TRUE
3700,2.356993,,37,3700,TRUE
3800,2.356993,,38,3800,TRUE
3901,2.356993,,39.01,3901,TRUE
3902,2.356993,,39.02,3902,TRUE
4000,2.356993,,40,4000,TRUE
4100,2.356993,,41,4100,TRUE
4201,2.356993,,42.01,4201,TRUE
4202,2.356993,,42.02,4202,TRUE
4300,2.356993,,43,4300,TRUE
4400,2.356993,,44,4400,TRUE
4500,2.356993,,45,4500,TRUE
4600,2.356993,,46,4600,TRUE
4700,2.356993,,47,4700,TRUE
4800,2.356993,,48,4800,TRUE
4900,2.356993,,49,4900,TRUE
5000,2.356993,,50,5000,TRUE
5100,2.356993,,51,5100,TRUE
5200,2.356993,,52,5200,TRUE
5300,2.356993,,53,5300,TRUE
5400,2.356993,,54,5400,TRUE
5500,2.356993,,55,5500,TRUE
5600,2.356993,,56,5600,TRUE
5700,2.356993,,57,5700,TRUE
5901,2.356993,,59.01,5901,TRUE
5902,2.356993,,59.02,5902,TRUE
6001,2.356993,,60.01,6001,TRUE
6002,2.356993,,60.02,6002,TRUE
6100,2.356993,,61,6100,TRUE
6200,2.356993,,62,6200,TRUE
6301,2.356993,,63.01,6301,TRUE
6302,2.356993,,63.02,6302,TRUE
6401,2.356993,,64.01,6401,TRUE
6402,2.356993,,64.02,6402,TRUE
6501,2.356993,,65.01,6501,TRUE
6502,2.356993,,65.02,6502,TRUE
6700,2.356993,,67,6700,TRUE
6800,2.356993,,68,6800,TRUE
6900,2.356993,,69,6900,TRUE
7101,3.774493,,71.01,7101,TRUE
7102,2.356993,,71.02,7102,TRUE
7201,2.356993,,72.01,7201,TRUE
7202,2.356993,,72.02,7202,TRUE
7301,3.774493,,73.01,7301,TRUE
7302,2.356993,,73.02,7302,TRUE
7601,2.356993,,76.01,7601,TRUE
7604,2.356993,,76.04,7604,TRUE
7605,2.356993,,76.05,7605,TRUE
7700,3.774493,,77,7700,TRUE
7801,3.774493,,78.01,7801,TRUE
7804,3.7934477,,78.04,7804,TRUE
7805,3.7934477,,78.05,7805,TRUE
7809,2.356993,,78.09,7809,TRUE
7810,3.7934477,,78.1,7810,TRUE
7811,3.7934477,,78.11,7811,TRUE
7812,3.7934477,,78.12,7812,TRUE
7815,3.0623238,,78.15,7815,TRUE
7818,2.356993,,78.18,7818,TRUE
7819,2.356993,,78.19,7819,TRUE
7820,2.356993,,78.2,7820,TRUE
7821,2.356993,,78.21,7821,TRUE
7822,2.356993,,78.22,7822,TRUE
7823,2.356993,,78.23,7823,TRUE
7824,3.7934477,,78.24,7824,TRUE
7825,3.7934477,,78.25,7825,TRUE
7826,3.0623238,,78.26,7826,TRUE
7827,3.7934477,,78.27,7827,TRUE
7902,2.356993,,79.02,7902,TRUE
7903,2.356993,,79.03,7903,TRUE
7906,3.774493,,79.06,7906,TRUE
7909,2.356993,,79.09,7909,TRUE
7910,2.356993,,79.1,7910,TRUE
7911,2.356993,,79.11,7911,TRUE
7912,2.356993,,79.12,7912,TRUE
7913,3.774493,,79.13,7913,TRUE
7914,3.774493,,79.14,7914,TRUE
8000,2.356993,,80,8000,TRUE
8100,2.356993,,81,8100,TRUE
8200,2.356993,,82,8200,TRUE
8400,2.356993,,84,8400,TRUE
8500,2.356993,,85,8500,TRUE
8603,2.356993,,86.03,8603,TRUE
8604,2.356993,,86.04,8604,TRUE
8701,2.356993,,87.01,8701,TRUE
8703,2.356993,,87.03,8703,TRUE
8704,2.356993,,87.04,8704,TRUE
8705,2.356993,,87.05,8705,TRUE
8801,2.356993,,88.01,8801,TRUE
8802,2.356993,,88.02,8802,TRUE
8900,2.356993,,89,8900,TRUE
9000,2.356993,,90,9000,TRUE
9101,2.356993,,91.01,9101,TRUE
9103,2.356993,,91.03,9103,TRUE
9104,2.356993,,91.04,9104,TRUE
9105,2.356993,,91.05,9105,TRUE
9201,2.356993,,92.01,9201,TRUE
9202,2.356993,,92.02,9202,TRUE
9301,2.356993,,93.01,9301,TRUE
9303,2.356993,,93.03,9303,TRUE
9304,2.356993,,93.04,9304,TRUE
9401,2.356993,,94.01,9401,TRUE
9402,2.356993,,94.02,9402,TRUE
9500,2.356993,,95,9500,TRUE
9603,2.356993,,96.03,9603,TRUE
9604,2.356993,,96.04,9604,TRUE
9605,2.356993,,96.05,9605,TRUE
9607,2.356993,,96.07,9607,TRUE
9608,2.8371131,,96.08,9608,TRUE
9609,2.356993,,96.09,9609,TRUE
9610,2.356993,,96.1,9610,TRUE
9611,2.356993,,96.11,9611,TRUE
9701,2.356993,,97.01,9701,TRUE
9702,2.356993,,97.02,9702,TRUE
9802,2.356993,,98.02,9802,TRUE
9803,2.356993,,98.03,9803,TRUE
9804,2.356993,,98.04,9804,TRUE
9900,2.8371131,,99,9900,TRUE
10000,2.3071566,,100,10000,TRUE
10101,2.356993,,101.01,10101,TRUE
10102,2.356993,,101.02,10102,TRUE
10500,2.3071566,,105,10500,TRUE
10601,2.3071566,,106.01,10601,TRUE
10602,2.5620432,,106.02,10602,TRUE
10701,2.7012739,,107.01,10701,TRUE
10703,2.7012739,,107.03,10703,TRUE
10704,2.356993,,107.04,10704,TRUE
10801,2.356993,,108.01,10801,TRUE
10803,2.051574,,108.03,10803,TRUE
10804,2.356993,,108.04,10804,TRUE
10805,2.356993,,108.05,10805,TRUE
10902,2.051574,,109.02,10902,TRUE
10903,2.051574,,109.03,10903,TRUE
10904,2.051574,,109.04,10904,TRUE
11001,2.356993,,110.01,11001,TRUE
11002,2.356993,,110.02,11002,TRUE
11101,2.356993,,111.01,11101,TRUE
11103,2.356993,,111.03,11103,TRUE
11104,2.356993,,111.04,11104,TRUE
11105,2.356993,,111.05,11105,TRUE
11200,2.2167337,,112,11200,TRUE
11300,2.2167337,,113,11300,TRUE
11401,2.356993,,114.01,11401,TRUE
11500,2.356993,,115,11500,TRUE
11601,2.356993,,116.01,11601,TRUE
11602,2.356993,,116.02,11602,TRUE
11701,2.356993,,117.01,11701,TRUE
11702,2.356993,,117.02,11702,TRUE
11800,2.356993,,118,11800,TRUE
11900,2.356993,,119,11900,TRUE
12000,2.356993,,120,12000,TRUE
12100,2.5940747,,121,12100,TRUE
12204,2.356993,,122.04,12204,TRUE
12206,2.356993,,122.06,12206,TRUE
12207,2.5940747,,122.07,12207,TRUE
12208,2.356993,,122.08,12208,TRUE
12209,2.356993,,122.09,12209,TRUE
12210,2.356993,,122.1,12210,TRUE
12211,2.356993,,122.11,12211,TRUE
12301,2.356993,,123.01,12301,TRUE
12302,2.356993,,123.02,12302,TRUE
12400,2.356993,,124,12400,TRUE
12500,2.5940747,,125,12500,TRUE
12601,3.0629818,,126.01,12601,TRUE
12603,2.356993,,126.03,12603,TRUE
12604,3.0629818,,126.04,12604,TRUE
12701,2.356993,,127.01,12701,TRUE
12702,2.356993,,127.02,12702,TRUE
12800,2.356993,,128,12800,TRUE
12900,2.356993,,129,12900,TRUE
13004,3.0623238,,130.04,13004,TRUE
13005,3.7934477,,130.05,13005,TRUE
13007,3.0623238,,130.07,13007,TRUE
13008,3.7934477,,130.08,13008,TRUE
13009,3.7934477,,130.09,13009,TRUE
13010,3.0623238,,130.1,13010,TRUE
13011,3.2620082,,130.11,13011,TRUE
13101,3.0623238,,131.01,13101,TRUE
13102,2.356993,,131.02,13102,TRUE
13104,2.356993,,131.04,13104,TRUE
13105,2.356993,,131.05,13105,TRUE
13200,3.0623238,,132,13200,TRUE
13300,2.356993,,133,13300,TRUE
13400,2.356993,,134,13400,TRUE
13500,2.356993,,135,13500,TRUE
13605,3.7934477,,136.05,13605,TRUE
13606,3.0623238,,136.06,13606,TRUE
13607,3.7934477,,136.07,13607,TRUE
13608,3.0623238,,136.08,13608,TRUE
13609,3.7934477,,136.09,13609,TRUE
13610,3.0623238,,136.1,13610,TRUE
13611,3.0623238,,136.11,13611,TRUE
13615,3.0623238,,136.15,13615,TRUE
13616,2.356993,,136.16,13616,TRUE
13617,3.7934477,,136.17,13617,TRUE
13618,3.7934477,,136.18,13618,TRUE
13619,3.7934477,,136.19,13619,TRUE
13620,3.0623238,,136.2,13620,TRUE
13621,3.0623238,,136.21,13621,TRUE
13622,2.356993,,136.22,13622,TRUE
13623,2.356993,,136.23,13623,TRUE
13624,2.356993,,136.24,13624,TRUE
13625,2.356993,,136.25,13625,TRUE
13626,2.356993,,136.26,13626,TRUE
13711,3.4598305,,137.11,13711,TRUE
13712,3.4598305,,137.12,13712,TRUE
13713,3.4598305,,137.13,13713,TRUE
13714,3.4598305,,137.14,13714,TRUE
13715,3.4598305,,137.15,13715,TRUE
13716,3.4598305,,137.16,13716,TRUE
13717,3.4598305,,137.17,13717,TRUE
13718,3.4598305,,137.18,13718,TRUE
13719,3.4598305,,137.19,13719,TRUE
13720,3.4598305,,137.2,13720,TRUE
13721,2.8371131,,137.21,13721,TRUE
13722,2.8371131,,137.22,13722,TRUE
13725,2.356993,,137.25,13725,TRUE
13726,2.356993,,137.26,13726,TRUE
13727,2.356993,,137.27,13727,TRUE
13803,2.8371131,,138.03,13803,TRUE
13804,2.8371131,,138.04,13804,TRUE
13805,3.4598305,,138.05,13805,TRUE
13806,2.8371131,,138.06,13806,TRUE
13901,3.4598305,,139.01,13901,TRUE
13902,3.4598305,,139.02,13902,TRUE
14001,2.8371131,,140.01,14001,TRUE
14002,2.8371131,,140.02,14002,TRUE
14103,3.1665745,,141.03,14103,TRUE
14113,2.2626221,,141.13,14113,TRUE
14114,2.2626221,,141.14,14114,TRUE
14115,2.2626221,,141.15,14115,TRUE
14116,2.2626221,,141.16,14116,TRUE
14119,3.9298503,,141.19,14119,TRUE
14120,3.7285316,,141.2,14120,TRUE
14121,3.7285316,,141.21,14121,TRUE
14123,3.7285316,,141.23,14123,TRUE
14124,3.7285316,,141.24,14124,TRUE
14126,3.9298503,,141.26,14126,TRUE
14127,3.7285316,,141.27,14127,TRUE
14128,3.9298503,,141.28,14128,TRUE
14129,3.7285316,,141.29,14129,TRUE
14130,3.7285316,,141.3,14130,TRUE
14131,3.7285316,,141.31,14131,TRUE
14132,3.7285316,,141.32,14132,TRUE
14133,2.2626221,,141.33,14133,TRUE
14134,3.9298503,,141.34,14134,TRUE
14135,3.9298503,,141.35,14135,TRUE
14136,3.7285316,,141.36,14136,TRUE
14137,2.7509978,,141.37,14137,TRUE
14138,2.7509978,,141.38,14138,TRUE
14203,2.2626221,,142.03,14203,TRUE
14204,2.2626221,,142.04,14204,TRUE
14205,2.2626221,,142.05,14205,TRUE
14206,2.6146667,,142.06,14206,TRUE
14302,2.2626221,,143.02,14302,TRUE
14306,2.2626221,,143.06,14306,TRUE
14307,2.2626221,,143.07,14307,TRUE
14308,2.2626221,,143.08,14308,TRUE
14309,2.2626221,,143.09,14309,TRUE
14310,2.2626221,,143.1,14310,TRUE
14311,3.4598305,,143.11,14311,TRUE
14312,2.7509978,,143.12,14312,TRUE
14403,2.6432319,,144.03,14403,TRUE
14405,2.2626221,,144.05,14405,TRUE
